property_id,payment_date,amount_total,principal_amount,late_fee_amount,received_by,channel,memo
#25,2025-09-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 1
#25,2025-10-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 2
#25,2025-11-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 3
#25,2025-11-11,3500.00,3500.00,0,GT_REAL_BANK,CHECK,Balloon payment
#25,2025-12-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 4
#25,2026-01-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 5
#25,2026-02-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 6
#25,2026-03-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 7
#25,2026-04-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 8
#25,2026-05-08,449.00,449.00,0,GT_REAL_BANK,CHECK,Payment 9
#33,2025-09-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 1
#33,2025-10-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 2
#33,2025-11-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 3
#33,2025-12-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 4
#33,2026-01-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 5
#33,2026-02-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 6
#33,2026-03-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 7
#33,2026-04-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 8
#33,2026-05-02,195.00,195.00,0,GT_REAL_BANK,CHECK,Payment 9
#35,2025-09-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 1
#35,2025-10-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 2
#35,2025-11-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 3
#35,2025-12-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 4
#35,2026-01-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 5
#35,2026-02-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 6
#35,2026-03-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 7
#35,2026-04-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 8
#35,2026-05-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 9
#43,2025-09-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 1
#43,2025-10-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 2
#43,2025-11-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 3
#43,2025-12-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 4
#43,2026-01-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 5
#43,2026-02-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 6
#43,2026-03-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 7
#43,2026-04-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 8
#43,2026-05-02,236.00,236.00,0,GT_REAL_BANK,CHECK,Payment 9
#45,2025-11-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 1
#45,2025-12-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 2
#45,2026-01-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 3
#45,2026-02-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 4
#45,2026-03-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 5
#45,2026-04-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 6
#45,2026-05-06,300.00,277.00,23,GT_REAL_BANK,CHECK,Payment 7 with late fee
#45,2026-06-06,277.00,277.00,0,GT_REAL_BANK,CHECK,Payment 8
#17,2025-11-03,162.90,162.90,0,GT_REAL_BANK,CHECK,Payment 1
#17,2025-12-03,162.90,162.90,0,GT_REAL_BANK,CHECK,Payment 2
#17,2026-01-03,162.90,162.90,0,GT_REAL_BANK,CHECK,Payment 3
#22,2025-10-24,110.00,110.00,0,GT_REAL_BANK,CHECK,Payment 1
#22,2025-11-24,110.00,110.00,0,GT_REAL_BANK,CHECK,Payment 2
#22,2025-12-24,130.00,110.00,20,GT_REAL_BANK,CHECK,Payment 3 with late fee
#22,2026-01-24,110.00,110.00,0,GT_REAL_BANK,CHECK,Payment 4
